id,time,title,content,info
449,2019-03-14,《赛伯利亚之谜3》中文版（含1.02补丁）,本作作为系列的第三部作品，游戏继承了前作第二部的剧情，拥有更加优秀的画面，游戏中玩家扮演女律师Kate Walker，接受委托，去探寻不为人知的神秘之岛的秘密。游戏紧跟《赛伯利亚之谜2》的剧情，主角Kate Walker将进入到Youkol人的部落，探索神秘猛犸象的千古之谜。相关信息：您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。pan.baidu.com/s/1QN1FdzKsCvRBUF76pTjuEQ 通关口令：zfvj解包口令：loveps4.com已添加恢复记录。󰄼 赞 6 赏󰄯 分享,动作类
448,2019-03-14,《生化危机 启示录2》中文版,根据制作人表示，《生化危机 启示录2》将会由全新主角，并在新舞台来展开和《生化危机 启示录》完全不同的全新故事。本作将会集结“启示”的原开发团队，以回归生化原点氛围为目标，来开发续作。您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。解压密码:@大篮子皮 链接:https://pan.baidu.com/s/1deYDLd8x9Ct0rz8knYLcNQ 提取码:nds2󰄼 赞 4 赏󰄯 分享,射击类
447,2019-03-14,《杰克与达斯特 旧世界的遗产》中文版,带点迪士尼动画风格的孤岛探险游戏上市，狭道、山洞、熔岩地带危机四伏，玩家将扮演杰克，一个菜鸟冒险家。 他为了帮助掉落魔法池中，被变成鼬鼠的好友达斯特，解除魔法，决定外出冒险，找寻任何可以解除魔咒的方式。您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。https://pan.baidu.com/s/1LKEZhTxlDmFpEdj3CPVlhg通关口令：kic8解包口令：    loveps4.com󰄼 赞 3 赏󰄯 分享,动作类
446,2019-03-13,《赛车计划2》中文版,《赛车计划2》将会以拉力赛（Rallycross）为核心，仍将采用和前作一样的WMD（World of Mass Development）开发模式，这意味一些玩家从游戏开发之初便可以接触到游戏的各个版本。您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。pan.baidu.com/s/1zIDNLB-yICWxC6KxUocMAg 通关口令：3dfe解压密码：gz死神bleach󰄼 赞 0 赏󰄯 分享,体育竞速
445,2019-03-13,《傲气雄鹰 年度版》中文版,《傲气雄鹰》是波兰著名的独立游戏开发商Infinite Dreams制作的竖版射击游戏，本作是10周年纪念版，既保留了原先《傲气雄鹰》原汁原味的角色设定与画风，又在此基础上对游戏画面进行了全面的3D化，精细的建模以及突出的光影、粒子效果让整个战斗场景都极为震撼。您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。pan.baidu.com/s/1yLD6FPseRx2kB1wsYBRrVg 通关口令：utre󰄼 赞 0 赏󰄯 分享,射击类
444,2019-03-13,《魔界战记5》中文版（含全25DLC+v1.01补丁）,《魔界战记5》是一款策略角色扮演游戏，剧情讲述：比银河深渊更黑暗的漆黑宇宙中，散布着无数的魔界。各个魔界里有魔王率领着血气方刚的恶魔们，而魔界整体便是在他们彼此对峙下保持着均衡， 但是，魔帝‘暗邪沃伊德’与其手下军团‘落失军’却突然出现了， 许多魔界惨遭蹂躏，并接二连三地向其投降了。同时，出现了一名年轻恶魔挺身对抗扩张势力的落失军。 他的名字叫‘奇力亚’。 是个来历不明的恶魔，发誓要对魔帝－暗邪沃伊德复仇， 只身不断地向在魔界各地逞淫威的落失军挑战。奇力亚于边境的渴血魔界击溃落失军的一只小队， 恰巧拯救了在那里遭落失军袭击的姬魔王‘雪拉菲娜’。雪拉菲娜一看到奇力亚就认为他是＂能干的仆人＂， 身为有志打倒暗邪沃伊德的同道中人， 便半强迫地逼他一起行动了……您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。本体+DLC链接：https://pan.baidu.com/s/1wUhgqs1bkZnk2cbm_h-50Q 提取码：0us2V1.01补丁链接：pan.baidu.com/s/1AWjwX3AIHu1sKLYdoudUSg 提取码: 2jjp󰄼 赞 2 赏󰄯 分享,其他类型
443,2019-03-13,《驾驶俱乐部》国行中文版（含v1.28补丁）,无关输赢，关键是团队合作，以及如何加入俱乐部共享每场赛事的纯粹快感。和好友以及在线的玩者一同组队考验你的驾驶技巧。驾驶地球上最帅气的车辆进行数百个高速对决和赛中挑战。不论胜负，随时都有值得游玩的内容。您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。本体链接: https://pan.baidu.com/s/1gYFMy6Ftu1Et1Kb70oELFw 提取码: 8jqf解压密码：ps4内置3t以上，该吃ps4了说你呢转基因大米。󰄼 赞 2 赏󰄯 分享,体育竞速
442,2019-03-13,《88英雄》中文版PKG下载（含v1.04补丁）,《88英雄》是一款2D平台动作游戏。在《88英雄》中，你需要在88分钟内完成4个区域(每个区都有特别BOSS)里的88个关卡，在阻止Dr.H8摧毁地球的过程中，你将要用到88个英雄的独特能力(每个英雄都不同)。游戏玩法：每次你玩的时候英雄都是随机选择的，这样给每次都挑战都能带来新鲜感和挑战性。游戏中也有许多模式，比如Solo模式，你只能玩一个英雄，也有可以玩8个英雄的Magnificent 8模式。游戏特色：88个不同英雄！发现他们独特的力量，并利用他们征服每个阶段，如果他们死了，你将永远失去他们！88个不同关卡！Dr.H8的四个不同世界，避免各种致命的障碍和邪恶的英雄粉碎敌人。每级88秒！时钟已经滴答作响；它可以使你的阁楼在他的博士H8轨道空间站在88分钟的末日计时器耗尽？！无限重播值！英雄改变秩序，每次你玩，以保持有趣的事情，你可以尝试保存一天与你最喜欢的八个英雄，甚至只有一个。祝你好运!您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。链接：pan.baidu.com/s/1Ysmd0vt4sCIOzWVXgQu_YA 提取码：fcge解压密码：bibgame.com󰄼 赞 2 赏󰄯 分享,动作类
441,2019-03-13,《最终幻想12 黄道纪元》中文版（含v1.05补丁）,本作是PS2平台上《最终幻想12 黄道十二职业》的高清化版本，《最终幻想12 黄道纪元》中将对角色的建模以及过场画面进行高清化，同时收录的BGM也会重新收录，并且追加自动存档机能等内容。《最终幻想12 黄道纪元》具体更改内容：画面表现力提升，BG・角色建模、字体等所有涉及的2D绘图将高清化，CG过场高清化，加入了现代的全新特效表现力；音乐表现力提升，对应7.1ch声道，音质提高，语音可以选择「日语」和「英语」（游戏内自带，中文版信息未知），BGM收录「原版」和为本作重新收录的「新版」两种，游戏中可切换；用户体验提升，读取时间缩短，自动存档机能追加，高速模式改良，在高速模式下的操作性提升。您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。本体链接：https://pan.baidu.com/s/1ESV7tITK_N0ZQdRDHOzV9A提取码：hh0s补丁链接https://pan.baidu.com/s/1kYpvpewbmqxkQP328sNmkQ 提取码: 8d7h󰄼 赞 0 赏󰄯 分享,角色扮演
440,2019-03-13,《初音未来：歌姬计划X HD》中文版（全20DLC+v1.02补丁）,喜欢玩《初音未来：歌姬计划》游戏的小伙伴有福了，在最新的版本中，你们可以和初音一起跳舞啦，而且还是贴身跳舞哦，不再是对着电视屏幕YY，要来就来真的!3D全息投影就让你高潮了?VR版本可以让你在初音专属的舞台上和她们一起共舞。当初宅男们的共同梦想—与初音来个亲密接触，在这个夏天就可以实现啦!　　初音未来PS游戏　　《初音未来：歌姬计划X HD》PS4和PS VR版发行，想要和初音来个亲密接触?那你还有什么理由不买PS VR吗?　　内容包括：　　「中心」「俏皮」「酷炫」「艷丽」「混沌」服装模组解锁代码　　「中心」「俏皮」「酷炫」「艷丽」「混沌」饰品解锁代码*　　extra角色： NERU·HAKU·咲音·TETO服装模组套件 Mikudayo*　　歌曲： Sharing The World Hand in Hand　　服装： 雪MIKU 2016 Racing Miku 2016 Ver. P4D Style CA Style A CA Style 39 雪MIKU 2010～2015套组　　已测试可用，其中歌曲dlc需要通关后开启extra area后才可使用，extra角色dlc只能在演唱会编辑模式中使用您已评论，请查看如下隐藏内容哦！如果喜欢本小站，可以打赏站长，用来升级服务器，捂脸。本体链接：https://pan.baidu.com/s/1i0nZurzrO3ngubjMlsqhaA 提取码：15o0 DLC链接：https://pan.baidu.com/s/12eGuIDVo7apRTTbfH-Ihdw 提取码：tlhb 解压密码：bibgame.com补丁链接：pan.baidu.com/s/1aJhqGUpH0NmtyyZVCeL6Kw 提取码: hi9d󰄼 赞 3 赏󰄯 分享,其他类型
